,Tweets
2347,"'EU is seeking to reform the system, as part of its broader aim to cut net greenhouse gas emissions by 55 per cent from 1990 levels by 2030. Agriculture accounts for about 12 per cent of EU emissions, and the situation is particularly acute in Ireland.' https://t.co/LJRdrOHusM"
2348,@SHEDDISTILLERY @flaviar_com @DeptRCD @agriculture_ie @HeartlandsIRL @IrelandEmbUSA @SuperValuIRL @Failte_Ireland @IrishWhiskeyAsc @Bordbia @AVR_Whiskey_SOC I'm enjoying the Sardinian citrus edition this evening with a @PoachersDrinks citrus tonic ~ #simplythebest
2349,"Detection of highly polar #pesticides in foods at trace levels is challenging. Jim Garvey and Michael Kelly, Department of Agriculture, Food and the Marine, Ireland, will discuss how to separate these chemicals with IC-MS/MS. https://t.co/rAj1njsC3w #SelectScienceFoodBeverage https://t.co/AjUmGdddUG"
2350,"@SaveLeitrim @agriculture_ie @pippa_hackett @McConalogue @MarianHarkin @Martin_Kenny @FrankFeighan @MarcMacsharryTD @leitrimcoco @LeitrimLive @LeitrimGAA @shannonsidenews @OceanFmIreland @IrishTimes Heritage Week is just another PR  greenwashing marketing stunt. From our Viking river to the mountains, forests and bogs across Ireland, nothing is sacred. Every inch is up for mining, digging, extracting,  thanks to the FFFG and most worrying of all - the 'Greenwashing' Party."
2351,"@pmdfoster Expected friction is already diverting exports away from UK (now down to 6% of total despite increase over time, and still falling). How long can UK go hungry? Most imported food is from Ireland and the Netherlands. Agriculture 7% of Irish economy &amp; falling. EU help buffers too."
2352,"#BIKHighlights

#Insights from the @BIrlKe #DoingBusinessInKenyaGuide - the guide features an analysis of key #economic sectors and an overview of relevant #opportunities -  #agriculture, #finance &amp; #technology. See more on our website today -  https://t.co/bgjtcLFaO9 🇰🇪🤝🇮🇪 https://t.co/GCV3mqnNUM"
2353,#Agriculture #Farming #OpenDay #Ireland #Hemp https://t.co/P5gkPV8IpC
2354,"@OkeeffeLynn @DaleCrammond @peatyGHG @agriculture_ie At the moment in Ireland it's a, build it and they will come attitude. Sure, that always goes to plan"
2355,“Ireland’s NW coast had the highest concentration (up to 544 fibres + 77 fragments per kilo of sediment) …Some scientists estimate that by 2050 there will be more plastic in the sea than fish.” #BiodiversityCrisis #ClimateCrisis #marine @agriculture_ie @IWDGnews @EOS_NUIG https://t.co/81exE5C6Ur
2356,"@AnUncaptiveMind @Stethereturn @connolly_lg @Paul_Millard68 @NotreRene Everything has been sacrificed for Nissan - fishing, agriculture, creative arts, science, everything - even Northern Ireland.

So yes, you’re right, Nissan is doing unexpectedly fine."
2357,"@Rtti19311602 @chescoptersdad @NicholasTyrone See here: https://t.co/47VzvpIbyx ""Feel free""? UK is free unlike Germany that is not a real country anymore. It has given away it's money, borders, foreign policy, trade policy, fisheries, agriculture &amp; law making. Taxation next to go."
2358,"WANTED ⚖️ 👮‍♀️ 

@RSPCA_official “We believe the dogs were being transported from Wales and Ireland to be sold on to unsuspecting members of the public as family-bred pets, many tragically went on to die.”

https://t.co/ycgCjdhI4u

@gardainfo @agriculture_ie @ISPCA1 @DublinSPCA"
2359,Our brilliant concervation agriculture in Wolaita Zone Boloso Sore Tiye Hembecho district. TDA incollaboration with Tear Fund Ireland. https://t.co/Zzcl3CgTkr
2360,"Should it not read that climate change will be the ruination of N Ireland agriculture, unless we start to make changes. https://t.co/rFCaG3HGaZ"
2361,https://t.co/iiWlvsvcrE #HeritageWeek2021 @Rethink_Ireland @agriculture_ie @GreenSchoolsIre @3CounciI https://t.co/UXFA2DnlLW
2362,RT to urge Agriculture Minister Charlie @McConalogue to include rabbits in upcoming fur farming ban https://t.co/nx75AFTU07
2363,"Energy use is biggest contributor to emissions.

In Ireland debate revolves around agriculture sector, but this is somewhat specific to the Irish economy and similar economies? T #climatechange he importance of  energy efficiency gets lost sometimes?

if…https://t.co/09qwrhRWTL"
2364,"In a KPMG report, the Ulster Farmers' Union said a climate bill (requiring Norther Ireland to be net zero by 2045),supported by most of Stormont, will be the ""ruination"" of their agriculture industry.  This is where the ‘E’ and ‘S’ of ESG clash #ESG #UFU  https://t.co/l4M72XQRrt"
2365,"In Co Limerick esp, goddess Áine is known as Queen of the fairies! Sometimes represented by a red mare; can transform into one &amp; never caught! Irish goddess of midsummer, love, fertility. In charge of crops/animals &amp; associated with agriculture. #Ireland #FairyTaleTuesday 🧚🐎 https://t.co/VKYYi2Hfa6"
2366,@Gunplanoob1 I will love to be able to see a cicada in person. Insect/bug numbers in Ireland have been in large decline due to gardening trends and agriculture that I envy the biodiversity in your country.
2367,"If you're into ancient mysteries and subtle energy, here's an overview of Philip Callahan's work on the round stone towers of Ireland, which appear to be tuned resonating structures whose energy fields impact the vitality of surrounding agriculture: https://t.co/FXxYZfjQH9"
2368,⚠️🐰 Don't allow sickening scenes like these to materialise in Ireland • Join us in urging Agriculture Minister Charlie @McConalogue to include rabbits in the upcoming fur farming ban https://t.co/SjGjgrliD2 https://t.co/9ecyUxoeD0
2369,Climate bill 'will be ruination of NI agriculture' https://t.co/gxtQm7dStA via @BBCNews
2370,"Enterprise Ireland supported farm management company Herdwatch will create 40 new jobs. Tánaiste Leo Varadkar T.D. said the Tipperary firm is “a fantastic example of an Irish-owned company providing innovative solutions for the agriculture sector."" Read: https://t.co/ww631jzOqd https://t.co/mJfwmzulyS"
2371,"Climate bill will be ruination of NI agriculture, says UFU https://t.co/B4o9Gx4vqh"
2372,"@SHEDDISTILLERY @flaviar_com @DeptRCD @agriculture_ie @HeartlandsIRL @IrelandEmbUSA @SuperValuIRL @Failte_Ireland @IrishWhiskeyAsc @Bordbia @AVR_Whiskey_SOC CHEW ON THIS: What we must do to promote better dog ownership?
Calling for your signature to promote responsible dog ownership and improve public facilities for dogs by implementing the Cu Charter.
https://t.co/sgSe2R544V"
2373,Northern Irish Innovators Expanding in the U.S. &amp; Canada.Farming is big business for Northern Ireland. At least 75% of land in the region – one of the four that make up the UK – is used for agriculture and the local industry... https://t.co/pK2tMctnGp #NorthernIreland https://t.co/hRG9ajMLlX
2374,"@SHEDDISTILLERY @flaviar_com @DeptRCD @agriculture_ie @HeartlandsIRL @IrelandEmbUSA @SuperValuIRL @Failte_Ireland @IrishWhiskeyAsc @Bordbia @AVR_Whiskey_SOC A fellow Patrick J, greetings fellow life traveller! 😅
Not much on the gin, but I see you make a drop of whiskey also. Yum.😌"
2375,"CLIMATE BILL WILL BE RUINATION OF N.I. AGRICULTURE (UFU)

“There are a lot of other alternatives that we need to be looking at. Agroecology, for example, nature friendly farming, for example - all these things need to be factored in.” (@ClareBaileyGPNI)

https://t.co/cr0meWgZYQ"
2376,"The Government of Ireland's Future Growth Loan Scheme is designed for SMEs, and small mid-caps or SMEs involved in agriculture or fishing. 

Contact us to talk about how a long-term loan with low interest rates could help you with business investment. https://t.co/7rjBgmGMfQ"
2377,"The flip side is that climate change will be the ruination of NI agriculture if flood and drought trajectories continue. The bill is necessary to forcibly drive industry (and societal) change. Solutions must support farmers and food production.
https://t.co/ESzu1sZ9wy"
2378,"Project fear from @UFUHQ. Farming practices are driving climate change, but farmers are also key to sequestration of carbon.

BBC News - Climate bill will be ruination of NI agriculture, says UFU
https://t.co/xrqpgVaELo"
2379,"@Jdevine89 Yes, that too. I saw a slide for 2030 targets in Ireland. Power 70% reduction. Heat c. 30% reduction, transport c. 20% reduction. Agriculture contributing 30% of emissions was untouched.  You are right there are other areas too, but it has to include ag."
2380,Really enjoyed speaking at this panel on co-operatives and Irish agriculture for @AnRabhartaGlas Great contributors and an excellent and serious discussion about one of the most pressing policy facing Ireland https://t.co/LvuFNIg5y0
2381,"Data centres and cows are a big factor in Ireland’s climate ambitions. ""In 2018 agriculture was responsible for 33% of all greenhouse gas emissions, and for 45% of all non-ETS greenhouse gas emissions."" https://t.co/wlifVQy134"
2382,"Northern Ireland wants Net Zero Bill for 2045
https://t.co/pu5FrfBU0Y
Net zero sounds good but have the authors of the bill thought this through properly. It could destroy NI agriculture, massive job losses and drive up emissions.
#ClimateEmergency #GlobalWarming #ClimateCrisis https://t.co/K3U54fXll1"
2383,"@flaviar_com @SHEDDISTILLERY @agriculture_ie @sainsburys @OBriensWine @dunnesstores @SuperValuIRL @TotalWine @LMdW_SG @TescoIrl @Tesco @DublinAirport Afghanistan, Korea, Japan oh look at that, America, Canada and we are right back at Ireland. An area I think we can all agree with a vast array of flora and fauna so the phrase 'oriental botanicals' indicates nothing other than lazy marketing"
2384,"Climate bill will be ruination of NI agriculture, says UFU - BBC News

DUP oh, it’s ok, we only need to reduce emissions by 82% by 2050…. Lallalalalalalala

Ice melting after 1000s year, fatal floods and fires. We haven’t hit 1% yet. F’idiots. Manage it! https://t.co/ft8OmOGyOl"
2385,"Climate bill will be ruination of NI agriculture, says Ulster Farmers' Union 

https://t.co/irp2AFTiEE"
2386,"Climate bill will be ruination of NI agriculture, says UFU
-
Not half as much as the status quo will. If we do nothing it will be devastating.
If we do things right, most people’s lives will be impacted to a significant degree, and we should welcome that.
 https://t.co/UsVXKV2vAF"
2387,"The Ulster Farmers' Union says a climate bill supported by most of the Stormont parties will be the ""ruination"" of Northern Ireland's agriculture industry. https://t.co/rkezlkwjZK"
2388,@EPAIreland According to IPCC one of the quickest ways for us to give an immediate reduction in carbon emissions is to cut the herd (methane emissions). If we don’t mention changing agriculture in Ireland in relation to the #ClimateCrisis then it’s meaningless talk.
2389,During #HeritageWeek2021 let us not forget our natural &amp; built heritage that has been impacted by Ireland's @agriculture_ie @pippa_hackett @McConalogue failed plantation forestry policy. Citizens &amp; vunerable communities  along with biodiversity continues to be damaged. #STOP NOW https://t.co/xr214f5ebe
2390,@rtenews @McConalogue @morningireland Charlie McConalogue You should resign. You are acting corruptly and are abusing your position. The people of Ireland deserve better than a bent Minister of Agriculture. You are tarnishing all politicians with your crooked behaviour.
2391,"@PhuckleI @ByHedge @IrishTimes @rtenews @RTE_PrimeTime I never said any industry was governed by the policies. 

I said the policies for agriculture from the government were expansion based.  Teagasc advisors were pushing it and government funded schemes enabled it.  You seem to know little of agriculture in ireland."
2392,"Pictures of Valleyview Farm drilling cover crop with the help of our Trimble Guidance using the GFX750 with EZ Pilot Pro on CenterPoint RTX. 
Trimble Agriculture - UK &amp; Ireland https://t.co/LOprzTSPxY"
2393,"@Robcass78 @Cavanbrian @ByHedge interesting graph. according to epa agriculture accounts for 67% of ireland land use and according to your graph 53% of water pollution. urban areas account for 1-2% of land use and between waste water, urban diffuse and industry accounts for 45% of pollution"
2394,"The Agriculture Minister has called the live export trade “a critical part of Ireland’s livestock industry” despite welfare concerns raised by animal welfare NGOs. 

🚛 We want to investigate why the trade is now seen as so vital to our livestock industry. https://t.co/UhX5ZCr3OZ"
2395,@PhilipTyndall @HannahEDaly Intensive animal agriculture in Ireland is primarily about converting South American meal into meat and money for the magnates. Completely indefensible and unsustainable.
2396,"@M_J_Lyons @IFAmedia Not just the IFA, but farmers and the public in general need to realise/accept that the current practice of #agriculture in #Ireland is not sustainable."
2397,"""Industrial hemp is an extremely powerful carbon sink. A submission from Forest Industries Ireland to the Department of Agriculture stated hemp could allow Ireland to reach all of its greenhouse gas emission targets within 5 years if it was fully supported by the Irish G'ment"""
2398,"@john_p_looney @BrusselsKevin @climpeter @mtobis On foot of agreed agriculture EU policy for Ireland. 

We saw the very same thing with recycling, and with diesel cars.

Tell us to embrace it, we do and next we're criticised for it. https://t.co/n5WAcbIGAc"
2399,"@jane_mangan As ever #solution focused! Listen up @DeptCulturelRL @DeptRCD @DeptEnterprise @agriculture_ie  @MichealMartinTD @HRIRacing #CommonSense. Time for #Action.#Ireland #Tramore #Mallow #Thurles #Killarney #Sligo  Thanks for the straight talk, Jane"
2400,"@BrusselsKevin @climpeter @mtobis @gougle_lads It seems that agriculture's contribution to Ireland's GHG is 33% of the total. Vast majority of that is methane. Big outlier, given agriculture is less than 1% of our GDP."
2401,@malbekh @HannahEDaly And on reflection what an apt use of that word (filth) it was. Any system in this case intensive agriculture in Ireland which subjects animals to such torture is a truly filthy system. Do town people know pigs have to be living all their lives on top of horror pits of shit?
2402,"Fighting Stigma: Controlling the spread of IBR within your herd: ... within Irish agriculture with evidence to suggest that 75% of cattle herds have been exposed to the virus, according to Animal Health Ireland (AHI). https://t.co/4AP9CcPvF3"
2403,"@PhilipTyndall @HannahEDaly To be fair, agriculture in Ireland is not feeding people. We have been a net importer of food for over 20 years. There is a significant difference between unsustainable intensive animal agriculture and the family farm. One is feeding people. The other is making money."
2404,"@mattcarthy @McConalogue Matt @mattcarthy PLEASE, PLEASE, PLEASE get @rte to cover this major public interest issue. Ministerial interference with the judiciary is unacceptable. An @agriculture_ie official found guilty of mistreating animals is outrageous. NOT coincidental Ireland is puppy farm capital"
2405,"“The report's conclusions have been misrepresented as a 'game-changer' for agriculture, by Ireland’s cynical farming lobby, and its even more cynical PR tools.”

Fixed. 
You’re welcome. https://t.co/UiUtlO4FCz"
2406,"@AgrilandIreland Indeed it is. Ireland can no longer allow agriculture, responsible for a third of our emissions, not take its share of the dramatic cuts needed to, er, save a living planet for our future generation. OUR grandchildren's future. Moral imperative and all that."
2407,@elizcarty @SHEDDISTILLERY @flaviar_com @DeptRCD @agriculture_ie @HeartlandsIRL @IrelandEmbUSA @SuperValuIRL @Failte_Ireland @IrishWhiskeyAsc @Bordbia @AVR_Whiskey_SOC Worth it.
2408,@garfarkle1 @SHEDDISTILLERY @flaviar_com @DeptRCD @agriculture_ie @HeartlandsIRL @IrelandEmbUSA @SuperValuIRL @Failte_Ireland @IrishWhiskeyAsc @Bordbia @AVR_Whiskey_SOC I’ll search it out thanks a million ☺️🤗
2409,"@elizcarty @SHEDDISTILLERY @flaviar_com @DeptRCD @agriculture_ie @HeartlandsIRL @IrelandEmbUSA @SuperValuIRL @Failte_Ireland @IrishWhiskeyAsc @Bordbia @AVR_Whiskey_SOC Fever-tree tonic, slices of cucumber and loads of ice Liz."
2410,@garfarkle1 @SHEDDISTILLERY @flaviar_com @DeptRCD @agriculture_ie @HeartlandsIRL @IrelandEmbUSA @SuperValuIRL @Failte_Ireland @IrishWhiskeyAsc @Bordbia @AVR_Whiskey_SOC I’m salivating at the thought now 🤤 what tonic would you recommend G man?
2411,@elizcarty @SHEDDISTILLERY @flaviar_com @DeptRCD @agriculture_ie @HeartlandsIRL @IrelandEmbUSA @SuperValuIRL @Failte_Ireland @IrishWhiskeyAsc @Bordbia @AVR_Whiskey_SOC It is a beautiful gin Liz.
2412,"@AnGobanSaor @EcoEye @SeanMoncrieff An NPHET is the last think Ireland needs.  We need a new minister for agriculture anyway (one who won't interfere with the judiciary), so maybe a new minister could also ban tilling and glyphosate."
2413,@SHEDDISTILLERY @garfarkle1 @flaviar_com @DeptRCD @agriculture_ie @HeartlandsIRL @IrelandEmbUSA @SuperValuIRL @Failte_Ireland @IrishWhiskeyAsc @Bordbia @AVR_Whiskey_SOC Investing in a bottle for my move next weekend whoop whoop 🙌
2414,"Serious arrive from The https://t.co/SVA8Yborix on Ireland and Global Warming.

Best time to powerfully incentivise different use of land in a major way.

Switch to forestation and plant based food production. Economic &amp;social importance of animal based agriculture becoming less. https://t.co/lEeMr4B8HV"
2415,(Ireland) Agriculture Minister Must Explain Challenge To Sentence Given To Official For Animal Neglect - Social Democrats https://t.co/KVHqGZNQG0
2416,@GaryPhelan8 @HannahEDaly @conormulv Which part? That climate change is real? That Intensive animal agriculture as practiced in Ireland is completely unsustainable? That we need to reduce all emissions urgently. Yes. I believe all of those.
2417,"The lack of even an acknowledgement and total silence of our local @greenparty_ie representative in government, @agriculture_ie and @Fingalcoco on this matter speaks volumes about the seriousness of their intentions to address the problem of #Ireland's increasing #GHG #emissions!"
2418,"Great new content up on Hotcourses Abroad 😎 👇

⭐ Ireland's top medical schools 👉 https://t.co/vNMo8ysV4L

⭐ Why study agriculture in Australia? 👉 https://t.co/bdfw9EPzIK

⭐ Understanding IELTS test scoring 👉https://t.co/OjXmEsUD6n

Don't miss it 🤓

#studyabroad https://t.co/Mtn7sozl1m"
2419,"@ZaidJilani US had immigration policy that preferenced people from northwest europe

US immigration WORK policy prefers Cheap Labor sources and Northwest Europe was no longer a source of cheap labor.  

People from Ireland weren't coming to pick seasonal agriculture in California."
2420,These animals were left to awful deaths in their own filth.  And the Minister of Agriculture seems to be fine with that. Only in Ireland. https://t.co/UQq89VZUvV
2421,"If it weren't for this somewhat smug aristo's ancestor,  one Horace Plunkett, who introduced modern agriculture here, then Ireland would be a complete wilderness anyway https://t.co/sjISj4a8SB"
2422,Agriculture official admits to animal neglect charges at Co Sligo farm - https://t.co/FlT2TNWBk3 #ireland is a farcical embarrassment.!!! https://t.co/RQBD2GcvkP
2423,"@RTERadio1 Interesting that agriculture is being talked about yet manufacturing is being ignored in Ireland. Especially since the national herd hasn’t changed since the 90’s meaning, as UC Davis says (https://t.co/EFmlTBExZg) no changes in size over 12 years means no warming!"
2424,@agriculture_ie @citizensinfo Do you mean - Between Northern Ireland and the Republic of Ireland?
2425,"@clonfarmer @PhilipMasterso2 @ByHedge Agriculture is part of the problem as well. 97% CH4 emissions in Ireland from agriculture, near 100% NH3 (non-GHG) from agriculture."
2426,"@ballyshannonac1 @EamonRyan @LeoVaradkar @MichealMartinTD Total Ireland CO2 equivalent emissions 59Mt per annum.

Agriculture accounts for  ~22% of that so ~13Mtpa
Concrete 0.6t CO2 per tonne produced, x 4.4Mt pa production = ~3Mt CO2 pa

The cows have it by a factor of 4."
2427,"Last month, minister @McConalogue told us (to great fanfare) that Ireland is to be a 'world leader' in sustainable food systems. 

This week he's getting his colleague off the hook for a conviction for ""animal neglect and animal welfare breaches"" 😬
 https://t.co/zsOHUbdYzH"
2428,1/3 A lot has been said this week about #ClimateAction &amp; the work Ireland's #agriculture sector will need to do to reduce #CO2 emissions. What about our #concrete industry? Cement is believed to be the source of about 8% of the world's CO2 emissions. Ireland is the... https://t.co/h516sYwsn7
2429,@WustFred Ireland was an agrarian country which did well from the EU system of subsidising agriculture. It is also true that there has been a revolution in social values there. This probably happened to some extent because of its emigrant culture. Britain is reactionary and exceptionalist.
2430,"#ClimateBreakdown - Ireland getting warmer and wetter- new report from Irish EPA .  “Carbon dioxide is up by 50%, methane is up 170%, and nitrous oxide has increased by 20%” …. Grass fed beef and dairy .. time for a #JustTransition for agriculture  https://t.co/AHV72Gru4M"
2431,"#BritishColumbia as a #country.

Pop: 5M (roughly par w/ NZ or Ireland)

Ocean access w/ major ports

#Agriculture, #Fisheries, #MineralResources, #Forestry, #NaturalGas, #HydroElectricity, #Tourism

We stand a better chance as a stand-alone than virtually any other #Province"
2432,The agriculture and food sector 'continued to play a vital role in Ireland’s economy' last year https://t.co/htO9nXbMmz
2433,@McConalogue @Kelly64kg @agriculture_ie @Bordbia @NDC_ie @fiannafailparty @pippa_hackett @martinheydonfg You shouldn't be deploying the resources of the Dept of Agriculture in appealing the conviction of a private citizen. This is an outrageous abuse of power. https://t.co/wc3Jh46Lc0
2434,"“The Minister for Agriculture has brought a High Court challenge aimed at setting aside parts of a conviction imposed on one of its officials who had dead and injured animals on his lands.”

https://t.co/nu5oIuJYEV"
2435,Ireland needs to embrace renewable agri based biomethane as part of the mix to decarbonise difficult areas such as the thermal processes of industry and agriculture while supporting farmers @IEABioenergy @Dept_ECC @agriculture_ie https://t.co/8P6M9AL61a
2436,The Minister for Agriculture has brought a High Court challenge aimed at setting aside parts of a conviction imposed on Bernard (otherwise Brian) Kilgariff - a senior Department official who had dead and injured animals on his lands https://t.co/2hBk9eidy0
2437,"The agriculture and food sector continued to play a vital role in Ireland’s economy in 2020, contributing to 7.1% of total employment, along with agri-food exports accounting for 8.8% of total exports with a value of €14.2 billion, during a global pandemic 💰🙌🌾#TheValueOfAg https://t.co/tPdR0rF7JC"
2438,The 2021 Agricultural Science Association (ASA) in Ireland Conference will explore the role that science has to play in the future of the agri-food industry @ucdavis @ucanr https://t.co/eKXpAbNWBv
2439,"Valleyview Farm drilling cover crop with the help of our Trimble Guidance using the GFX750 with EZ Pilot Pro on CenterPoint RTX. 
Trimble Agriculture - UK &amp; Ireland https://t.co/aoMUpqKpAu"
2440,"This on board weighing system from Trimble Agriculture - UK &amp; Ireland is a smart solution for front loaders, telehandlers, and on tipper trailers, always something to make the job easier and more accurate. The s1110 weighing system. https://t.co/szXUwo1FfS"
2441,"Meanwhile in #Ireland: Farmers helping to improve river water quality @irishtimes #pollution #nitrogen #agriculture #phosphorus #soil #climatechange 
https://t.co/kSLj7YYpDv"
2442,"@DoBetterDD @AnimalLawIE @LNBDublin @agriculture_ie @DeptHousingIRL @pippa_hackett Iv contacted every cllr, minister everyone in Ireland and had 2 reply’s it quite shameful that none will take the lead to tackle it 

But we will keep pushing, Iv emailed again tonight 

Also the websites every one in England wants to speak, no one in Ireland returns a email"
2443,"@AnimalLawIE @LNBDublin @agriculture_ie @DeptHousingIRL @pippa_hackett @JusticeforRegg1 All your work in the UK will be amount to nothing, unless Ireland gets its act together"
2444,"Organics recycling/soil health advocates from 25 countries are involved in virtual ORGANICS RECYCLING Conference hosted by The Compost Council of Canada, CRÉ: Composting &amp; Anaerobic Digestion Association of Ireland &amp; IICA: Inter-American Institute for Cooperation on Agriculture. https://t.co/Ag2UO4arHr"
2445,"Organics recycling/soil health advocates from 25 countries are involved in virtual ORGANICS RECYCLING Conference hosted by The Compost Council of Canada, CRÉ: Composting &amp; Anaerobic Digestion Association of Ireland &amp; IICA: Inter-American Institute for Cooperation on Agriculture. https://t.co/ob0RAeqFd7"
2446,"@Peterhynes15 @McConalogue @martinheydonfg @agriculture_ie @fiannafailparty @IFAmedia @ICSAIreland @JoinINHFA @MacranaFeirme Say what now? high health status? have you seen Peta's videos from China? Skinning animals alive, medieval slaughtering practice. How does Ireland control what happens to pigs exported to China once they are there? High welfare indeed. https://t.co/T0p5Esg4vT https://t.co/WIUU3VDwYP"
2447,"@agriculture_ie @McConalogue @Corks96FM @irishexaminer @corkindo @HHumphreysFG
@MichealMartinTD
@PresidentIRL
When is the minister going to tour the animal welfare rescues?  Animal cruelty is out of control in Ireland with little or no arrests &amp; proscecutions.  Animal Welfare Act must be enfored &amp; policed for once &amp; for all."
2448,"@joefingalgreen @RBoydBarrett Joe you failed miserably to engage with Richard on very valid points he made about data centres, agriculture, rural ireland etc."
2449,"Meet Northern Ireland Sheep Programme (NISP) participants Kate Kingan and Peter Mant from Tynan, County Armagh.

Find out how Kate and Peter have benefited from being an NISP participant. 

Find out more about NISP: https://t.co/ST2WYwyG45 https://t.co/EGzWIho2T9"
2450,"@LNBDublin @DogsTrust_IE @petbond_ireland Ireland has been known as the Puppy Farming capital of Europe – a title that no one could be proud of. Please Campaign &amp; support for Lucy's law to be implemented here , which will help eliminate the callous &amp; cruel puppy farming industry: https://t.co/jhryHh3osl

#adoptnotshop"
2451,@MadsMcKeever @rayofoghlu @agriculture_ie That ties into a question I have been asking people for years; if there was a hugely disruptive economic and social shock to Europe and Ireland; could we feed ourselves? There are comparatively few Irish potato farmers and they depend on modern machinery; so parts diesel etc...
2452,"In week three of our Sea of Potential series on seaweed in Ireland, Janine Kennedy speaks with Bantry Marine Research Station on the role seaweed can play in methane reduction.
https://t.co/zVNKGt7eHn"
2453,"@AnimalLawIE @LNBDublin @agriculture_ie @DeptHousingIRL @pippa_hackett Absolutely!
A coordinated approach from @agriculture_ie @DeptRCD @DeptHousingIRL 
Basic joined up thinking to link microchip, dog licence, dog breeding establishments etc.

Ireland's shameful reputation as 'puppy farm capital of Europe' MUST be addressed @McConalogue @LNBDublin"
2454,"Now into his second year in the role, the Minister for Agriculture says the expansion of Ireland’s dairy herd has to stop if the farming sector is to meet its climate targets. @LorcanAllen reports. https://t.co/WeTkMIu8K6"
2455,"@mickyturner2 @McConalogue @martinheydonfg @agriculture_ie @fiannafailparty @IFAmedia @ICSAIreland @JoinINHFA @MacranaFeirme It is not great news! It is evident that Ireland’s climate, biodiversity &amp; animal welfare remains at the mercy of a few self-congratulatory, middle-aged white males, that have no comprehension of sustainability @philip_ciwf @pippa_hackett #BanLiveExport"
2456,@McConalogue @martinheydonfg @agriculture_ie @fiannafailparty @IFAmedia @ICSAIreland @JoinINHFA @MacranaFeirme Just as well ashton pound was exposed by whistleblowers you’d probably be celebrating sending  Irish dogs to Yulin meat festival . What a disgusting nasty decision . People without empathy should never be in politics unfortunately that’s all we get in Ireland
2457,@JamesSpackman @gremalkincat @DavidHenigUK Ireland's closest EU ally is France as shared interests in agriculture etc. Both Republics and have historic links. Ireland and UK have close links but with France would know from history Perfidious Albion #BrexitShambles UK never to be trusted especially a #ToryCorruption Gov!
2458,@tomoleary888 @McConalogue @martinheydonfg @agriculture_ie @fiannafailparty @IFAmedia @ICSAIreland @JoinINHFA @MacranaFeirme I repeat: nothing to be proud of here. Ireland needs a ‘team’ that will help prepare us for climate breakdown and do everything possible to mitigate the worst impacts that are to come. Shipping pigs to China is a step in the wrong direction. Wise up!
2459,@martikenny13 @McConalogue @martinheydonfg @agriculture_ie @fiannafailparty @IFAmedia @ICSAIreland @JoinINHFA @MacranaFeirme Horrendous. Surely contravenes existing farm animal welfare laws here in Ireland. But then they were happy to export live greyhounds to China too until there was an uproar. This needs an uproar too!! 😡
2460,"@Peterhynes15 @AlannaFeeney @McConalogue @martinheydonfg @agriculture_ie @fiannafailparty @IFAmedia @ICSAIreland @JoinINHFA @MacranaFeirme @MichealMartinTD High health status? Ireland doesn't even comply with EU Pigs Directive: 99% of piglets tail-docked &amp; teeth clipped despite being prohibited - pigs cannot be compared with horses or dogs. #PigWelfare in Ireland is abysmal - no morals, no compassion &amp; no empathy for animals"
2461,"@McConalogue @martinheydonfg @agriculture_ie @fiannafailparty @IFAmedia @ICSAIreland @JoinINHFA @MacranaFeirme This is where they are headed! Tens of thousands of them in cages that fit round their bodies,  artificially and violently impregnated ..over and over again 😡 shame on you! Shame on Ireland (and I'm half Irish!😪) https://t.co/wT39h3taEd"
2462,@MayoCorncrake77 @ShaneMcAuliffe1 @McConalogue @martinheydonfg @agriculture_ie @fiannafailparty @IFAmedia @ICSAIreland @JoinINHFA @MacranaFeirme Absolutely disgusting  - not only is #AnimalWelfare in China abysmal but we have a global #ClimateCrisis and Ireland is exporting live pigs to China. Ireland has no shame.
2463,@McConalogue @martinheydonfg @agriculture_ie @fiannafailparty @IFAmedia @ICSAIreland @JoinINHFA @MacranaFeirme Great news for Irish farmers and rural Ireland!
2464,@McConalogue @martinheydonfg @agriculture_ie @fiannafailparty @IFAmedia @ICSAIreland @JoinINHFA @MacranaFeirme Live animals from Ireland to China is despicable. Shame on you for supporting this. Bad enough to Europe and Middle East but to China! #banliveexport
2465,"@McConalogue @martinheydonfg @agriculture_ie @fiannafailparty @IFAmedia @ICSAIreland @JoinINHFA @MacranaFeirme Well done to all involved, vast majority commenting on this have no concept how it will be regulated  or the level of work put in by Dept officials to make this happen, huge endorsement for Ireland's high health status in livestock"
2466,@McConalogue @martinheydonfg @agriculture_ie @fiannafailparty @IFAmedia @ICSAIreland @JoinINHFA @MacranaFeirme This is shocking - I thought Ireland’s shit reputation with animal welfare couldn’t get worse but more fool me. @greenparty_ie what are ye at? What didn’t you have to sell out on?
2467,@catlowry54 @Peterhynes15 @AlannaFeeney @McConalogue @martinheydonfg @agriculture_ie @fiannafailparty @IFAmedia @ICSAIreland @JoinINHFA @MacranaFeirme @MichealMartinTD No cruelty involved with sending pigs abroad from Ireland I’m afraid. I know many vets who have travelled on shipments and they are happy to detail the high level of care and attention the pigs receive.
